Req ID,Type,Requirement / Constraint,Spec §,Module  (file : function),Assigned,Mod TC,Int TC,Sys TC,Evidence Path,Status,CER Claim,Notes / Risks
CN-01,Constraint,Sensor sampling runs every 100 ms; LCD & UART output runs every 1 s (±100 ms),§6.2,app.c : Main_Loop,Both,TC-MOD-021,TC-INT-024,TC-SYS-008,evidence/TC-MOD-021_timing.png,?? Not Started,Loop timer confirms 100 ms sample and 1 s output cadence,"? EXAMPLE ROW — Study this, then complete the rows below.  |  Use student-chosen WTIMER counter (not WTIMER0); do NOT busy-wait."
CN-02,Constraint,blocks for specified milliseconds at 1 ms timer resolution,[§X.X],wtimer.c : WTIMER_Delay,Eric,[CR-???],,,[evidence/path],?? Not Started,[CER claim],[Notes / risks]
CN-03,Constraint,UART output updates every 1 second (NO 57600 baud),[§X.X],UART.c : UART0_SendChar,Dante,[CR-???],,,[evidence/path],?? Not Started,[CER claim],[Notes / risks]
CN-04,Constraint,I2C runs at 100 kHz,[§X.X],I2C.c : I2C_Init,TK,[CR-???],,,[evidence/path],?? Not Started,[CER claim],[Notes / risks]
CN-05,Constraint,Color sensor  must be sampled every 100ms with valid data,[§X.X],TCS34725.c : TCS34725_Init,Alex,[CR-???],,,[evidence/path],?? Not Started,[CER claim],[Notes / risks]
CN-06,Constraint,LCD display updates every 1s and must show valid formatted data without corruption,[§X.X],LCD.c : LCD_PrintText/LCD_SetCursor,Dante,[CR-???],,,[evidence/path],?? Not Started,[CER claim],[Notes / risks]
CN-07,Constraint,PWM signal runs at 50 Hz with pulse width 1-2ms which corresponds to -90deg to 90deg,[§X.X],pwm.c : PWM_Init/Servo_SetAngle,Alex,[CR-???],,,[evidence/path],?? Not Started,[CER claim],[Notes / risks]
CN-08,Constraint,"System maintains concurrent operation consisting of 100ms sensor updates, 1s LCD display updates, and servo response without delays",[§X.X],main.c : Main_Loop,Dante,[CR-???],,,[evidence/path],?? Not Started,[CER claim],[Notes / risks]
CN-09,Constraint,IMU Sensor must be sampled every 100ms with valid data,[§X.X],MPU6050.c: MPU6050_ReadAccel & MPU6050_ReadGyro,Eric,[CR-???],,,[evidence/path],?? Not Started,[CER claim],[Notes / risks]
,,,,,,,,,,,,
  ??  Design Requirements (DES-xx)  —  1 example row provided; fill in the remaining 1 row,,,,,,,,,,,,
DES-01,Design,Multiple I2C device designs considered; single-bus shared SDA/SCL chosen with external pull-ups,"§2.1, Workflow §1",i2c.c; hardware schematic,Both,,,,evidence/DES-001_design_decision.pdf,?? Not Started,Shared bus minimises GPIO use; 4.7 k? pull-ups meet Standard Mode rise-time spec,"? EXAMPLE ROW — Study this, then complete the rows below.  |  Document trade-offs vs software I2C or separate buses."
DES-02,Design,"Modular driver architecture chosen: WTIMER, UART0, I2C, TCS34725, MPU6050, LCD, PWM, and app layers kept in separate source files",[§X.X],"wtimer.c, UART.c, I2c.c, TCS34725.c + MPU6050.c + LCD.c + PWM.c",[Name],,,,[evidence/path],?? Not Started,[CER claim],[Notes / risks]
,,,,,,,,,,,,
  ??  System Requirements (SYS-xx)  —  1 example row provided; fill in the remaining 1 row,,,,,,,,,,,,
SYS-01,System,"Full system initialises all 7 modules, detects all 3 I2C devices, and enters main loop without hang",§6.2,app.c : main(),Both,,,TC-SYS-009,evidence/TC-SYS-009_full_init.mp4,?? Not Started,UART log shows all 'OK' messages and loop starts within 3 s of power-on,"? EXAMPLE ROW — Study this, then complete the rows below.  |  Failure of any sensor init should print diagnostic; student-chosen peripherals must all initialise."
SYS-02,System,"Integrated system reads colour and motion sensors, displays colour and angle, drives servo, and indicates dominant colour continuously",[§X.X],app.c : main(),[Name],,,[TC-SYS-???],[evidence/path],?? Not Started,[CER claim],[Notes / risks]
